id,name,sku,alternate_names,category_id,short_description,description,dosage,price,is_blend,ingredients,research_applications
 41b5aaf8-4d99-45af-9ba9-5605bc82d230,"2X Blend CJC-1295 Without DAC (5mg) / Ipamorelin (5mg)",YPB-BLD-001,"",6ccaa18b-fb85-43b5-a8d8-61ac7ab504f7,"Premium lyophilized 2X Blend CJC-1295 Without DAC (5mg) / Ipamorelin (5mg) for advanced blends research applications.","Premium lyophilized 2X Blend CJC-1295 Without DAC (5mg) / Ipamorelin (5mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.","5mg, 5mg",206.25,true,"Blend CJC-1295 Without DAC (5mg);Ipamorelin (5mg)","blends, cjc-1295 w, combination therapy, lyophilized, reconstitution required"
 86444563-bee3-4686-8287-f17ec265ba33,"4X Blend GHRP-2 (5mg) / Tesamorelin (5mg) / MGF (500mcg) / Ipamorelin (2.5mg)",YPB-BLD-002,"",6ccaa18b-fb85-43b5-a8d8-61ac7ab504f7,"Premium lyophilized 4X Blend GHRP-2 (5mg) / Tesamorelin (5mg) / MGF (500mcg) / Ipamorelin (2.5mg) for advanced blends research applications.","Premium lyophilized 4X Blend GHRP-2 (5mg) / Tesamorelin (5mg) / MGF (500mcg) / Ipamorelin (2.5mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.","5mg, 5mg, 500mcg, 2.5mg",198.00,true,"Blend GHRP-2 (5mg);Tesamorelin (5mg);MGF (500mcg);Ipamorelin (2.5mg)","blends, ghrp-2, combination therapy, lyophilized, reconstitution required"
 5f34c854-0254-4c12-a6e5-3c6e0c0b0b0b,"4X Blend Methionine (15mg) / Choline Chloride (50mg) / Carnitine (50mg) / Dexpanthenol (5mg)",YPB-BLD-003,"",6ccaa18b-fb85-43b5-a8d8-61ac7ab504f7,"Premium lyophilized 4X Blend Methionine (15mg) / Choline Chloride (50mg) / Carnitine (50mg) / Dexpanthenol (5mg) for advanced blends research applications.","Premium lyophilized 4X Blend Methionine (15mg) / Choline Chloride (50mg) / Carnitine (50mg) / Dexpanthenol (5mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.","15mg, 50mg, 50mg, 5mg",445.50,true,"Blend Methionine (15mg);Choline Chloride (50mg);Carnitine (50mg);Dexpanthenol (5mg)","blends, combination therapy, lyophilized, reconstitution required"
 57d8f080-7200-4d33-b12a-9ef3754dd1f9,"5-Amino-1MQ (50mg)",YPB-WM-002,"",c9fd4370-fff7-4cf2-a613-b355097eebd5,"Premium lyophilized 5-Amino-1MQ (50mg) for advanced weight management research applications.","Premium lyophilized 5-Amino-1MQ (50mg) for advanced weight management research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.","50mg",279.00,false,"","weight management, fat loss research, obesity studies, metabolic rate, body composition, lyophilized, reconstitution required"
 6c87374f-48c7-4605-8f9d-b83d5ce1a8e9,"5-Amino-1MQ (50mg) x 30 Tablets",YPB-WM-003,"",c9fd4370-fff7-4cf2-a613-b355097eebd5,"Research-grade 5-Amino-1MQ (50mg) x 30 Tablets in convenient tablet form for weight management studies.","Research-grade 5-Amino-1MQ (50mg) x 30 Tablets in convenient tablet form for weight management studies. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.","50mg",320.85,false,"","weight management, fat loss research, obesity studies, metabolic rate, body composition, tablet form, convenient dosing"
 5fe2548c-cb39-4923-b976-ded0ce173659,"5-Amino-1MQ (5mg)",YPB-WM-001,"",c9fd4370-fff7-4cf2-a613-b355097eebd5,"Premium lyophilized 5-Amino-1MQ (5mg) for advanced weight management research applications.","Premium lyophilized 5-Amino-1MQ (5mg) for advanced weight management research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.","5mg",155.00,false,"","weight management, fat loss research, obesity studies, metabolic rate, body composition, lyophilized, reconstitution required"
 0378320b-4ede-4625-a9a5-0129a08542ba,"8X Blend L-Carnitine (20mg) / L-Arginine (20mg) / Methionine (25mg) / Inositol (50mg) / Choline (50mg) / B6 (25mg) / B5 (5mg) / B12 (1mg)",YPB-GH-001,"",0d45a30b-2bf0-4142-a253-8e8ae7995f5e,"Premium lyophilized 8X Blend L-Carnitine (20mg) / L-Arginine (20mg) / Methionine (25mg) / Inositol (50mg) / Choline (50mg) / B6 (25mg) / B5 (5mg) / B12 (1mg) for advanced general health research applications.","Premium lyophilized 8X Blend L-Carnitine (20mg) / L-Arginine (20mg) / Methionine (25mg) / Inositol (50mg) / Choline (50mg) / B6 (25mg) / B5 (5mg) / B12 (1mg) for advanced general health research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.","20mg, 20mg, 25mg, 50mg, 50mg, 25mg, 5mg, 1mg",256.50,true,"8X Blend L-Carnitine (20mg);L-Arginine (20mg);Methionine (25mg);Inositol (50mg);Choline (50mg);B6 (25mg);B5 (5mg);B12 (1mg)","general health, l-c, l-a, b12, wellness research, cellular health, longevity studies, metabolic health, lyophilized, reconstitution required"
 2b08dd84-802a-4e90-b854-2ab2c1a9d00d,"ACE-031 (1mg)",YPB-FIT-001,"",2a9e7c68-2063-4c98-8df7-1f3d2362ce92,"Premium lyophilized ACE-031 (1mg) for advanced fitness & performance research applications.","Premium lyophilized ACE-031 (1mg) for advanced fitness & performance research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.","1mg",125.00,false,"","fitness and performance, ace-031, muscle growth, performance enhancement, athletic research, body composition, lyophilized, reconstitution required"
 d869de40-c317-412f-be52-d2485ffeec1e,"AICAR (50mg)",YPB-FIT-015,"",2a9e7c68-2063-4c98-8df7-1f3d2362ce92,"Premium lyophilized AICAR (50mg) for advanced fitness & performance research applications.","Premium lyophilized AICAR (50mg) for advanced fitness & performance research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.","50mg",225.00,false,"","fitness and performance, aicar, muscle growth, performance enhancement, athletic research, body composition, lyophilized, reconstitution required"
 32d0a918-7406-4833-ad21-46c668c7561a,"AOD 9604 (5mg)",YPB-WM-004,"",c9fd4370-fff7-4cf2-a613-b355097eebd5,"Premium lyophilized AOD 9604 (5mg) for advanced weight management research applications.","Premium lyophilized AOD 9604 (5mg) for advanced weight management research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.","5mg",155.00,false,"","weight management, aod 9604, fat loss research, obesity studies, metabolic rate, body composition, lyophilized, reconstitution required"
