ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Product Form,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score
,simple,YPB-BLD-001,2X Blend CJC-1295 Without DAC (5mg) / Ipamorelin (5mg),1,0,visible,Premium lyophilized 2X Blend CJC-1295 Without DAC (5mg) / Ipamorelin (5mg) for advanced blends research applications.,Premium lyophilized 2X Blend CJC-1295 Without DAC (5mg) / Ipamorelin (5mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,206.25,Blends,"peptides, research chemicals, blends, cjc-1295 w, 5mg, 5mg, peptide blend, combination therapy, synergistic peptides, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,1,Vial,Blends,90
,simple,YPB-BLD-002,4X Blend GHRP-2 (5mg) / Tesamorelin (5mg) / MGF (500mcg) / Ipamorelin (2.5mg),1,0,visible,Premium lyophilized 4X Blend GHRP-2 (5mg) / Tesamorelin (5mg) / MGF (500mcg) / Ipamorelin (2.5mg) for advanced blends research applications.,Premium lyophilized 4X Blend GHRP-2 (5mg) / Tesamorelin (5mg) / MGF (500mcg) / Ipamorelin (2.5mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,198.0,Blends,"peptides, research chemicals, blends, ghrp-2, mgf, 5mg, 5mg, peptide blend, combination therapy, synergistic peptides, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,2,Vial,Blends,90
,simple,YPB-BLD-003,4X Blend Methionine (15mg) / Choline Chloride (50mg) / Carnitine (50mg) / Dexpanthenol (5mg),1,0,visible,Premium lyophilized 4X Blend Methionine (15mg) / Choline Chloride (50mg) / Carnitine (50mg) / Dexpanthenol (5mg) for advanced blends research applications.,Premium lyophilized 4X Blend Methionine (15mg) / Choline Chloride (50mg) / Carnitine (50mg) / Dexpanthenol (5mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,445.5,Blends,"peptides, research chemicals, blends, 15mg, 50mg, peptide blend, combination therapy, synergistic peptides, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,3,Vial,Blends,90
,simple,YPB-BLD-004,Cagrilintide (2.5mg) / GLP-1 S (2.5mg),1,0,visible,Premium lyophilized Cagrilintide (2.5mg) / GLP-1 S (2.5mg) for advanced blends research applications.,Premium lyophilized Cagrilintide (2.5mg) / GLP-1 S (2.5mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,165,Blends,"peptides, research chemicals, blends, glp-1 s, 2.5mg, 2.5mg, peptide blend, combination therapy, synergistic peptides, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,4,Vial,Blends,90
,simple,YPB-BLD-005,Cagrilintide (5mg) / GLP-1 S (5mg),1,0,visible,Premium lyophilized Cagrilintide (5mg) / GLP-1 S (5mg) for advanced blends research applications.,Premium lyophilized Cagrilintide (5mg) / GLP-1 S (5mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,165,Blends,"peptides, research chemicals, blends, glp-1 s, 5mg, 5mg, peptide blend, combination therapy, synergistic peptides, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,5,Vial,Blends,90
,simple,YPB-BLD-006,GLOW GHK-Cu (45mg) / BPC-157 (10mg) / TB500 (10mg),1,0,visible,Premium lyophilized GLOW GHK-Cu (45mg) / BPC-157 (10mg) / TB500 (10mg) for advanced blends research applications.,Premium lyophilized GLOW GHK-Cu (45mg) / BPC-157 (10mg) / TB500 (10mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,165,Blends,"peptides, research chemicals, blends, glow ghk-c, bpc-157, tb500, 45mg, 10mg, peptide blend, combination therapy, synergistic peptides, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,6,Vial,Blends,90
,simple,YPB-BLD-007,GLOW GHK-Cu (50mg) / BPC-157 (10mg) / TB500 (10mg),1,0,visible,Premium lyophilized GLOW GHK-Cu (50mg) / BPC-157 (10mg) / TB500 (10mg) for advanced blends research applications.,Premium lyophilized GLOW GHK-Cu (50mg) / BPC-157 (10mg) / TB500 (10mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,297.0,Blends,"peptides, research chemicals, blends, glow ghk-c, bpc-157, tb500, 50mg, 10mg, peptide blend, combination therapy, synergistic peptides, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,7,Vial,Blends,90
,simple,YPB-BLD-008,KLOW - GHK-Cu (50mg) / KPV (10mg) / BPC-157 (10mg) / TB500 (10mg),1,0,visible,Premium lyophilized KLOW - GHK-Cu (50mg) / KPV (10mg) / BPC-157 (10mg) / TB500 (10mg) for advanced blends research applications.,Premium lyophilized KLOW - GHK-Cu (50mg) / KPV (10mg) / BPC-157 (10mg) / TB500 (10mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,297.0,Blends,"peptides, research chemicals, blends, klow - ghk-c, kpv, bpc-157, tb500, 50mg, 10mg, peptide blend, combination therapy, synergistic peptides, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,8,Vial,Blends,90
,simple,YPB-BLD-009,Wolverine Blend - BPC-157 (10mg) / TB500 (10mg),1,0,visible,Premium lyophilized Wolverine Blend - BPC-157 (10mg) / TB500 (10mg) for advanced blends research applications.,Premium lyophilized Wolverine Blend - BPC-157 (10mg) / TB500 (10mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,165,Blends,"peptides, research chemicals, blends, bpc-157, tb500, 10mg, 10mg, peptide blend, combination therapy, synergistic peptides, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,9,Vial,Blends,90
,simple,YPB-BLD-010,Wolverine Blend - BPC-157 (5mg) / TB500 (5mg),1,0,visible,Premium lyophilized Wolverine Blend - BPC-157 (5mg) / TB500 (5mg) for advanced blends research applications.,Premium lyophilized Wolverine Blend - BPC-157 (5mg) / TB500 (5mg) for advanced blends research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,165,Blends,"peptides, research chemicals, blends, bpc-157, tb500, 5mg, 5mg, peptide blend, combination therapy, synergistic peptides, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,10,Vial,Blends,90
